title,release,price,url,error
CosmoPirates,20 июн. 2024 г.,460 руб.,https://store.steampowered.com/app/2466240/CosmoPirates/,
Soulbind: Tales Of The Underworld,11 окт. 2024 г.,320 руб.,https://store.steampowered.com/app/2468470/Soulbind_Tales_Of_The_Underworld/,
Легенды Эйзенвальда,2 июл. 2015 г.,499 руб.,https://store.steampowered.com/app/246760/Legendy_Ejzenvalda/,
Dungeon Stalkers,29 окт. 2025 г.,Бесплатно,https://store.steampowered.com/app/2468730/Dungeon_Stalkers/,
Orebound,24 окт. 2024 г.,880 руб.,https://store.steampowered.com/app/2467810/Orebound/,
Progress Chess,15 апр. 2024 г.,240 руб.,https://store.steampowered.com/app/2470610/Progress_Chess/,
Hatone,15 апр. 2025 г.,280 руб.,https://store.steampowered.com/app/2478860/Hatone/,
Talisman: Digital Classic Edition,25 фев. 2014 г.,"Цена для вас:
3034,50 руб.",https://store.steampowered.com/app/247000/Talisman_Digital_Classic_Edition/,
Computer Repair Shop,12 янв. 2024 г.,385 руб.,https://store.steampowered.com/app/2479290/Computer_Repair_Shop/,
Sacred 3,31 июл. 2014 г.,349 руб.,https://store.steampowered.com/app/247950/Sacred_3/,
"Please, Forgive Me",17 июл. 2023 г.,179 руб.,https://store.steampowered.com/app/2484360/Please_Forgive_Me/,
Depth Hunter 2: Deep Dive,20 авг. 2014 г.,385 руб.,https://store.steampowered.com/app/248530/Depth_Hunter_2_Deep_Dive/,
Draw a Stickman: EPIC,3 дек. 2013 г.,99 руб.,https://store.steampowered.com/app/248650/Draw_a_Stickman_EPIC/,
Animal Planner,10 ноя. 2023 г.,60 руб.,https://store.steampowered.com/app/2479960/Animal_Planner/,
Cats Hidden in Georgia,11 фев. 2024 г.,21 руб.,https://store.steampowered.com/app/2485180/Cats_Hidden_in_Georgia/,
Exorcist Simulator,3 мая. 2025 г.,231 руб.,https://store.steampowered.com/app/2487140/Exorcist_Simulator/,
Risen 3 - Titan Lords,13 авг. 2014 г.,349 руб.,https://store.steampowered.com/app/249230/Risen_3__Titan_Lords/,
Deconstruction Simulator,23 сен. 2025 г.,440 руб.,https://store.steampowered.com/app/2487150/Deconstruction_Simulator/,
Captain Goose,14 окт. 2023 г.,82 руб.,https://store.steampowered.com/app/2484230/Captain_Goose/,
The Lullaby of Life,30 апр. 2024 г.,550 руб.,https://store.steampowered.com/app/2493180/The_Lullaby_of_Life/,
Merge Adventure: Magic Dragons,27 авг. 2023 г.,Бесплатно,https://store.steampowered.com/app/2495050/Merge_Adventure_Magic_Dragons/,
Dream Town Island,12 ноя. 2023 г.,269 руб.,https://store.steampowered.com/app/2488340/Dream_Town_Island/,
"Hello, your order...",24 июн. 2025 г.,200 руб.,https://store.steampowered.com/app/2496130/Hello_your_order/,
Teslagrad,13 дек. 2013 г.,599 руб.,https://store.steampowered.com/app/249590/Teslagrad/,
Начните с яйца,20 июл. 2023 г.,590 руб.,https://store.steampowered.com/app/2496920/Nachnite_s_yajcza/,
Hello Kitty Island Adventure,30 янв. 2025 г.,975 руб.,https://store.steampowered.com/app/2495100/Hello_Kitty_Island_Adventure/,
Garten of Banban 6,20 дек. 2023 г.,385 руб.,https://store.steampowered.com/app/2499800/Garten_of_Banban_6/,
Tiny Chaos,28 мар. 2024 г.,200 руб.,https://store.steampowered.com/app/2500680/Tiny_Chaos/,
FORCED: Slightly Better Edition,24 окт. 2013 г.,349 руб.,https://store.steampowered.com/app/249990/FORCED_Slightly_Better_Edition/,
Only Climb: Better Together,25 июл. 2023 г.,200 руб.,https://store.steampowered.com/app/2500750/Only_Climb_Better_Together/,
How to Survive,23 окт. 2013 г.,349 руб.,https://store.steampowered.com/app/250400/How_to_Survive/,
Mystery Box 4: The Journey,26 июл. 2023 г.,280 руб.,https://store.steampowered.com/app/2507540/Mystery_Box_4_The_Journey/,
Knock-knock,4 окт. 2013 г.,249 руб.,https://store.steampowered.com/app/250380/Knockknock/,
Bridge Constructor,16 окт. 2013 г.,385 руб.,https://store.steampowered.com/app/250460/Bridge_Constructor/,
Among the Sleep - Enhanced Edition,2 ноя. 2017 г.,Play Demo!,https://store.steampowered.com/app/250620/Among_the_Sleep__Enhanced_Edition/,
Bloodgrounds,5 ноя. 2025 г.,674 руб.,https://store.steampowered.com/app/2507820/Bloodgrounds/,
Calculator: The Game,11 авг. 2023 г.,82 руб.,https://store.steampowered.com/app/2508960/Calculator_The_Game/,
Temtem: Swarm,13 ноя. 2024 г.,385 руб.,https://store.steampowered.com/app/2510960/Temtem_Swarm/,
INFRA,15 янв. 2016 г.,1100 руб.,https://store.steampowered.com/app/251110/INFRA/,
The Crazy Hyper-Dungeon Chronicles,23 окт. 2025 г.,490 руб.,https://store.steampowered.com/app/2510490/The_Crazy_HyperDungeon_Chronicles/,
