title,release,price,url,error
Wordle 3,6 окт. 2020 г.,1100 руб.,https://store.steampowered.com/app/1428820/Wordle_3/,
Stone Simulator – Just Be a Rock,19 авг. 2025 г.,125 руб.,https://store.steampowered.com/app/1425980/Stone_Simulator__Just_Be_a_Rock/,
10mg :),15 окт. 2020 г.,82 руб.,https://store.steampowered.com/app/1425380/10mg/,
Пограничный охотник: Колесо судьбы Эрзы,26 июл. 2024 г.,880 руб.,https://store.steampowered.com/app/1429500/Pogranichnyj_oxotnik_Koleso_sudby_Erzy/,
Instruments of Destruction,10 мая. 2024 г.,710 руб.,https://store.steampowered.com/app/1428100/Instruments_of_Destruction/,
Clash: Artifacts of Chaos,9 мар. 2023 г.,1100 руб.,https://store.steampowered.com/app/1430680/Clash_Artifacts_of_Chaos/,
BIOMORPH,5 апр. 2024 г.,710 руб.,https://store.steampowered.com/app/1430220/BIOMORPH/,
КПТ с Юкой Казами,19 окт. 2020 г.,42 руб.,https://store.steampowered.com/app/1430420/KPT_s_YUkoj_Kazami/,
THIEF'S SHELTER,17 окт. 2025 г.,880 руб.,https://store.steampowered.com/app/1430930/THIEFS_SHELTER/,
Killing Floor 3,24 июл. 2025 г.,1600 руб.,https://store.steampowered.com/app/1430190/Killing_Floor_3/,
Santa Claus in Trouble (HD),20 дек. 2020 г.,249 руб.,https://store.steampowered.com/app/1431350/Santa_Claus_in_Trouble_HD/,
Sonority,25 мая. 2022 г.,710 руб.,https://store.steampowered.com/app/1432390/Sonority/,
Golazo! Soccer League,3 ноя. 2020 г.,205 руб.,https://store.steampowered.com/app/1431040/Golazo_Soccer_League/,
Godlike Burger,21 апр. 2022 г.,899 руб.,https://store.steampowered.com/app/1432910/Godlike_Burger/,
"Aquarist - стройте аквариумы, разводите рыбу, развивайте свой бизнес.",29 мар. 2024 г.,265 руб.,https://store.steampowered.com/app/1430760/Aquarist__strojte_akvariumy_razvodite_rybu_razvivajte_svoj_biznes/,
Монстры на каникулах: Приключения в страшных сказках,11 мар. 2022 г.,725 руб.,https://store.steampowered.com/app/1433500/Monstry_na_kanikulax_Priklyucheniya_v_strashnyx_skazkax/,
Car Detailing Simulator,13 апр. 2022 г.,372 руб.,https://store.steampowered.com/app/1433570/Car_Detailing_Simulator/,
Fast & Furious: Spy Racers Подъём SH1FT3R,5 ноя. 2021 г.,725 руб.,https://store.steampowered.com/app/1434320/Fast__Furious_Spy_Racers_Podyom_SH1FT3R/,
HighFleet,27 июл. 2021 г.,515 руб.,https://store.steampowered.com/app/1434950/HighFleet/,
9-Bit Armies: A Bit Too Far,26 авг. 2024 г.,710 руб.,https://store.steampowered.com/app/1439750/9Bit_Armies_A_Bit_Too_Far/,
Ultimate Godspeed,27 мая. 2024 г.,490 руб.,https://store.steampowered.com/app/1435750/Ultimate_Godspeed/,
Фильм «Щенячий патруль» Город приключений зовет,13 авг. 2021 г.,725 руб.,https://store.steampowered.com/app/1434310/Film_SHHenyachij_patrul_Gorod_priklyuchenij_zovet/,
Outbreak Island,28 окт. 2025 г.,499 руб.,https://store.steampowered.com/app/1442530/Outbreak_Island/,
Claire's Cruisin' Cafe,28 окт. 2020 г.,199 руб.,https://store.steampowered.com/app/1442070/Claires_Cruisin_Cafe/,
Haydee 2,23 ноя. 2020 г.,93 руб.,https://store.steampowered.com/app/1444650/Haydee_2/,
CALL OF LDPR,19 янв. 2021 г.,399 руб.,https://store.steampowered.com/app/1449000/CALL_OF_LDPR/,
Doctor Who: The Edge of Reality,13 окт. 2021 г.,465 руб.,https://store.steampowered.com/app/1444920/Doctor_Who_The_Edge_of_Reality/,
Space Commander: War and Trade,4 ноя. 2020 г.,Бесплатно,https://store.steampowered.com/app/1449750/Space_Commander_War_and_Trade/,
Reactor Tech²,31 авг. 2021 г.,349 руб.,https://store.steampowered.com/app/1444020/Reactor_Tech/,
Blood of Titans,11 окт. 2021 г.,Бесплатно,https://store.steampowered.com/app/1451230/Blood_of_Titans/,
Desynced,15 авг. 2023 г.,825 руб.,https://store.steampowered.com/app/1450900/Desynced/,
SATORI,6 авг. 2021 г.,195 руб.,https://store.steampowered.com/app/1451970/SATORI/,
Killer: Infected One of Us,1 фев. 2021 г.,280 руб.,https://store.steampowered.com/app/1453840/Killer_Infected_One_of_Us/,
Cozy Grove,7 апр. 2021 г.,550 руб.,https://store.steampowered.com/app/1458100/Cozy_Grove/,
Pacific Drive,21 фев. 2024 г.,1799 руб.,https://store.steampowered.com/app/1458140/Pacific_Drive/,
Evil Nun: The Broken Mask,7 дек. 2023 г.,710 руб.,https://store.steampowered.com/app/1460220/Evil_Nun_The_Broken_Mask/,
Seasons With Furry,20 ноя. 2020 г.,21 руб.,https://store.steampowered.com/app/1465170/Seasons_With_Furry/,
Pascal's Wager: Definitive Edition,11 мар. 2021 г.,435 руб.,https://store.steampowered.com/app/1456650/Pascals_Wager_Definitive_Edition/,
WRC 10 FIA World Rally Championship,2 сен. 2021 г.,1099 руб.,https://store.steampowered.com/app/1462810/WRC_10_FIA_World_Rally_Championship/,
Isolomus,4 дек. 2020 г.,60 руб.,https://store.steampowered.com/app/1459910/Isolomus/,
