title,release,price,url,error
Cute Dogs,15 дек. 2021 г.,21 руб.,https://store.steampowered.com/app/1814710/Cute_Dogs/,
Fortune Avenue,7 апр. 2025 г.,199 руб.,https://store.steampowered.com/app/1810050/Fortune_Avenue/,
The RPG Engine,8 сен. 2023 г.,Бесплатно,https://store.steampowered.com/app/1818180/The_RPG_Engine/,
Aquatico,12 янв. 2023 г.,700 руб.,https://store.steampowered.com/app/1812300/Aquatico/,
Zipp's Café,15 ноя. 2023 г.,82 руб.,https://store.steampowered.com/app/1812180/Zipps_Caf/,
Progeria: Vae Victis,10 янв. 2024 г.,385 руб.,https://store.steampowered.com/app/1819890/Progeria_Vae_Victis/,
Karagon (Survival Robot Riding FPS),17 апр. 2023 г.,710 руб.,https://store.steampowered.com/app/1818610/Karagon_Survival_Robot_Riding_FPS/,
Threes!,5 фев. 2024 г.,240 руб.,https://store.steampowered.com/app/1818570/Threes/,
One Line,15 дек. 2021 г.,42 руб.,https://store.steampowered.com/app/1820690/One_Line/,
DUCK: Dangerous Ultimate Cartridge Kidnapper,14 фев. 2023 г.,460 руб.,https://store.steampowered.com/app/1820770/DUCK_Dangerous_Ultimate_Cartridge_Kidnapper/,
Mikoshi: The Lost Crystals,23 дек. 2024 г.,240 руб.,https://store.steampowered.com/app/1823090/Mikoshi_The_Lost_Crystals/,
Stars In The Trash,9 дек. 2024 г.,299 руб.,https://store.steampowered.com/app/1822240/Stars_In_The_Trash/,
Легенда Феникса,26 янв. 2022 г.,Бесплатно,https://store.steampowered.com/app/1823490/Legenda_Feniksa/,
The Library of Babel,6 апр. 2023 г.,807 руб.,https://store.steampowered.com/app/1822030/The_Library_of_Babel/,
Hot Springs Story,27 мар. 2022 г.,205 руб.,https://store.steampowered.com/app/1823710/Hot_Springs_Story/,
Kitten Lost Her Box,26 фев. 2023 г.,32 руб.,https://store.steampowered.com/app/1821310/Kitten_Lost_Her_Box/,
Wavetale,12 дек. 2022 г.,1100 руб.,https://store.steampowered.com/app/1823930/Wavetale/,
Криминальные Архивы: Город в Огне Коллекционное Издание,14 дек. 2021 г.,320 руб.,https://store.steampowered.com/app/1823540/Kriminalnye_Arxivy_Gorod_v_Ogne_Kollekczionnoe_Izdanie/,
Powerlust,31 июл. 2025 г.,710 руб.,https://store.steampowered.com/app/1829520/Powerlust/,
Late Bird,20 янв. 2022 г.,21 руб.,https://store.steampowered.com/app/1829620/Late_Bird/,
Cute Cats 2,1 апр. 2022 г.,21 руб.,https://store.steampowered.com/app/1829910/Cute_Cats_2/,
"Вий: История, рассказанная заново",8 дек. 2021 г.,199 руб.,https://store.steampowered.com/app/1828910/Vij_Istoriya_rasskazannaya_zanovo/,
CHEMISTS: Area of infection,9 сен. 2022 г.,400 руб.,https://store.steampowered.com/app/1827690/CHEMISTS_Area_of_infection/,
Lords of Ravage,15 окт. 2025 г.,299 руб.,https://store.steampowered.com/app/1830320/Lords_of_Ravage/,
PC Creator - PC Building Simulator,14 дек. 2021 г.,154 руб.,https://store.steampowered.com/app/1831530/PC_Creator__PC_Building_Simulator/,
VRkanoid - Brick Breaking Game,16 мар. 2022 г.,259 руб.,https://store.steampowered.com/app/1830980/VRkanoid__Brick_Breaking_Game/,
Turn off the light,27 янв. 2022 г.,42 руб.,https://store.steampowered.com/app/1836180/Turn_off_the_light/,
Christmas Celebration With Sakuya Izayoi,21 дек. 2021 г.,165 руб.,https://store.steampowered.com/app/1835060/Christmas_Celebration_With_Sakuya_Izayoi/,
Terminator: Dark Fate - Defiance,21 фев. 2024 г.,1300 руб.,https://store.steampowered.com/app/1839950/Terminator_Dark_Fate__Defiance/,
Sandbox World,25 авг. 2024 г.,199 руб.,https://store.steampowered.com/app/1831480/Sandbox_World/,
Lifecraft,16 апр. 2024 г.,760 руб.,https://store.steampowered.com/app/1839930/Lifecraft/,
Bongo Quest,23 дек. 2021 г.,42 руб.,https://store.steampowered.com/app/1842270/Bongo_Quest/,
FOUNTAINS,20 дек. 2024 г.,499 руб.,https://store.steampowered.com/app/1841240/FOUNTAINS/,
Apocalyptic Vibes,1 мар. 2023 г.,435 руб.,https://store.steampowered.com/app/1840610/Apocalyptic_Vibes/,
Slayer : the Demon Haunted World,25 июл. 2025 г.,315 руб.,https://store.steampowered.com/app/1842320/Slayer__the_Demon_Haunted_World/,
Профессия следователь,13 июл. 2022 г.,299 руб.,https://store.steampowered.com/app/1844330/Professiya_sledovatel/,
Satan's puzzle 666,29 мар. 2022 г.,125 руб.,https://store.steampowered.com/app/1847110/Satans_puzzle_666/,
Claire's Cruisin' Cafe: High Seas Cuisine,16 фев. 2022 г.,199 руб.,https://store.steampowered.com/app/1849440/Claires_Cruisin_Cafe_High_Seas_Cuisine/,
11F,19 апр. 2024 г.,350 руб.,https://store.steampowered.com/app/1847120/11F/,
Uncle Chop's Rocket Shop,5 дек. 2024 г.,710 руб.,https://store.steampowered.com/app/1849790/Uncle_Chops_Rocket_Shop/,
