title,release,price,url,error
Northern Tale,9 фев. 2016 г.,79 руб.,https://store.steampowered.com/app/417410/Northern_Tale/,
Wick,17 дек. 2015 г.,149 руб.,https://store.steampowered.com/app/418300/Wick/,
Light Fall,26 апр. 2018 г.,349 руб.,https://store.steampowered.com/app/416830/Light_Fall/,
Shadow Tactics: Blades of the Shogun,6 дек. 2016 г.,1500 руб.,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/,
Pankapu,21 сен. 2016 г.,369 руб.,https://store.steampowered.com/app/418670/Pankapu/,
Starpoint Gemini Warlords,23 мая. 2017 г.,960 руб.,https://store.steampowered.com/app/419480/Starpoint_Gemini_Warlords/,
Rising Storm 2: Vietnam,30 мая. 2017 г.,39 руб.,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam/,
Candle,11 ноя. 2016 г.,200 руб.,https://store.steampowered.com/app/420060/Candle/,
Plantera,28 янв. 2016 г.,125 руб.,https://store.steampowered.com/app/421040/Plantera/,
Air Missions: HIND,21 мар. 2016 г.,379 руб.,https://store.steampowered.com/app/423490/Air_Missions_HIND/,
Wolcen: Lords of Mayhem,13 фев. 2020 г.,700 руб.,https://store.steampowered.com/app/424370/Wolcen_Lords_of_Mayhem/,
Little Nightmares,27 апр. 2017 г.,1429 руб.,https://store.steampowered.com/app/424840/Little_Nightmares/,
DEMON'S TILT,13 дек. 2019 г.,435 руб.,https://store.steampowered.com/app/422510/DEMONS_TILT/,
Vampyr,4 июн. 2018 г.,2199 руб.,https://store.steampowered.com/app/427290/Vampyr/,
Fernbus Simulator,25 авг. 2016 г.,1168 руб.,https://store.steampowered.com/app/427100/Fernbus_Simulator/,
Perception,30 мая. 2017 г.,435 руб.,https://store.steampowered.com/app/426310/Perception/,
Youtubers Life,18 мая. 2016 г.,710 руб.,https://store.steampowered.com/app/428690/Youtubers_Life/,
Слёзы Сепии,8 янв. 2016 г.,Бесплатные,https://store.steampowered.com/app/429300/Slyozy_Sepii/,
Tales of Berseria™,26 янв. 2017 г.,2099 руб.,https://store.steampowered.com/app/429660/Tales_of_Berseria/,
Stikbold! A Dodgeball Adventure,1 апр. 2016 г.,62 руб.,https://store.steampowered.com/app/429330/Stikbold_A_Dodgeball_Adventure/,
Mushroom Wars,7 апр. 2016 г.,249 руб.,https://store.steampowered.com/app/431250/Mushroom_Wars/,
Earn to Die 2,5 мая. 2016 г.,133 руб.,https://store.steampowered.com/app/431590/Earn_to_Die_2/,
Megaton Rainfall,17 ноя. 2017 г.,359 руб.,https://store.steampowered.com/app/430210/Megaton_Rainfall/,
Epic Battle Fantasy 5,30 ноя. 2018 г.,550 руб.,https://store.steampowered.com/app/432350/Epic_Battle_Fantasy_5/,
Heliborne Collection,12 окт. 2017 г.,619 руб.,https://store.steampowered.com/app/433530/Heliborne_Collection/,
INVERSUS Deluxe,16 авг. 2016 г.,139 руб.,https://store.steampowered.com/app/432980/INVERSUS_Deluxe/,
Lost Castle / 失落城堡,31 авг. 2016 г.,249 руб.,https://store.steampowered.com/app/434650/Lost_Castle/,
Lost Lands: The Golden Curse Collector's Edition,24 мар. 2016 г.,192 руб.,https://store.steampowered.com/app/433000/Lost_Lands_The_Golden_Curse_Collectors_Edition/,
10 Second Ninja X,19 июл. 2016 г.,24 руб.,https://store.steampowered.com/app/435790/10_Second_Ninja_X/,
Divinity: Original Sin 2 - Definitive Edition,14 сен. 2017 г.,799 руб.,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/,
The Final Station,30 авг. 2016 г.,550 руб.,https://store.steampowered.com/app/435530/The_Final_Station/,
Chill the Piro,28 апр. 2016 г.,82 руб.,https://store.steampowered.com/app/437180/Chill_the_Piro/,
My Night Job,21 апр. 2016 г.,385 руб.,https://store.steampowered.com/app/437100/My_Night_Job/,
HoPiKo,6 янв. 2017 г.,169 руб.,https://store.steampowered.com/app/437390/HoPiKo/,
The Secret Order 3: Ancient Times,10 мар. 2016 г.,550 руб.,https://store.steampowered.com/app/437420/The_Secret_Order_3_Ancient_Times/,
GoNNER,12 окт. 2016 г.,385 руб.,https://store.steampowered.com/app/437570/GoNNER/,
True Fear: Forsaken Souls Part 1,19 окт. 2016 г.,350 руб.,https://store.steampowered.com/app/440420/True_Fear_Forsaken_Souls_Part_1/,
BLUE REVOLVER,11 окт. 2016 г.,349 руб.,https://store.steampowered.com/app/439490/BLUE_REVOLVER/,
The Treasures of Montezuma 5,28 дек. 2015 г.,199 руб.,https://store.steampowered.com/app/443370/The_Treasures_of_Montezuma_5/,
Conan Exiles,8 мая. 2018 г.,2100 руб.,https://store.steampowered.com/app/440900/Conan_Exiles/,
