title,release,price,url,error
HellCat,15 июн. 2018 г.,Бесплатно,https://store.steampowered.com/app/864860/HellCat/,
The Darkest Woods,14 июн. 2018 г.,82 руб.,https://store.steampowered.com/app/869300/The_Darkest_Woods/,
Crossroads Inn Anniversary Edition,23 окт. 2019 г.,550 руб.,https://store.steampowered.com/app/867290/Crossroads_Inn_Anniversary_Edition/,
Rover Mechanic Simulator,12 ноя. 2020 г.,460 руб.,https://store.steampowered.com/app/864680/Rover_Mechanic_Simulator/,
Project Hospital,30 окт. 2018 г.,880 руб.,https://store.steampowered.com/app/868360/Project_Hospital/,
Galaxy Trucker: Extended Edition,7 мар. 2019 г.,259 руб.,https://store.steampowered.com/app/870690/Galaxy_Trucker_Extended_Edition/,
,,,https://store.steampowered.com/app/870780/Control_Ultimate_Edition/,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":"".apphub_AppName""}
  (Session info: chrome=142.0.7444.134); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff65c30a235
	0x7ff65c062650
	0x7ff65bdf16dd
	0x7ff65be4a27e
	0x7ff65be4a58c
	0x7ff65be9ed77
	0x7ff65be9baba
	0x7ff65be3b0ed
	0x7ff65be3bf63
	0x7ff65c335d60
	0x7ff65c32fe8a
	0x7ff65c351005
	0x7ff65c07d73e
	0x7ff65c084e3f
	0x7ff65c06b7e4
	0x7ff65c06b99f
	0x7ff65c051908
	0x7ff932e87374
	0x7ff933f3cc91
"
Lovecraft's Untold Stories,31 янв. 2019 г.,550 руб.,https://store.steampowered.com/app/871420/Lovecrafts_Untold_Stories/,
Rogue Company,20 июл. 2021 г.,Бесплатно,https://store.steampowered.com/app/872200/Rogue_Company/,
The Forgotten City,28 июл. 2021 г.,880 руб.,https://store.steampowered.com/app/874260/The_Forgotten_City/,
The Battle of Polytopia,4 авг. 2020 г.,360 руб.,https://store.steampowered.com/app/874390/The_Battle_of_Polytopia/,
Draw It! 2,31 авг. 2018 г.,82 руб.,https://store.steampowered.com/app/876890/Draw_It_2/,
Bug Academy,14 янв. 2020 г.,385 руб.,https://store.steampowered.com/app/881040/Bug_Academy/,
Pummel Party,20 сен. 2018 г.,550 руб.,https://store.steampowered.com/app/880940/Pummel_Party/,
World Soccer Strikers '91,18 авг. 2021 г.,154 руб.,https://store.steampowered.com/app/877870/World_Soccer_Strikers_91/,
Noita,15 окт. 2020 г.,435 руб.,https://store.steampowered.com/app/881100/Noita/,
Super Jigsaw Puzzle: Monuments,21 июн. 2018 г.,200 руб.,https://store.steampowered.com/app/878250/Super_Jigsaw_Puzzle_Monuments/,
Metro Sim Hustle,24 июл. 2021 г.,385 руб.,https://store.steampowered.com/app/882250/Metro_Sim_Hustle/,
New Star Manager,27 сен. 2018 г.,710 руб.,https://store.steampowered.com/app/883130/New_Star_Manager/,
Beyond Blue,11 июн. 2020 г.,435 руб.,https://store.steampowered.com/app/883360/Beyond_Blue/,
The Witch's House MV,30 окт. 2018 г.,550 руб.,https://store.steampowered.com/app/885810/The_Witchs_House_MV/,
Warman,3 апр. 2023 г.,710 руб.,https://store.steampowered.com/app/887420/Warman/,
Tunche,2 ноя. 2021 г.,112 руб.,https://store.steampowered.com/app/887450/Tunche/,
Rocket Science,20 фев. 2020 г.,799 руб.,https://store.steampowered.com/app/890520/Rocket_Science/,
TAL: Arctic,11 июл. 2018 г.,21 руб.,https://store.steampowered.com/app/887850/TAL_Arctic/,
Hell Pie,21 июл. 2022 г.,880 руб.,https://store.steampowered.com/app/889910/Hell_Pie/,
Красавица и чудовище: Скрытые объекты,7 авг. 2018 г.,320 руб.,https://store.steampowered.com/app/892550/Krasavicza_i_chudovishhe_Skrytye_obekty/,
Hellcoming,6 дек. 2021 г.,133 руб.,https://store.steampowered.com/app/891360/Hellcoming/,
Hot Brass,26 фев. 2021 г.,550 руб.,https://store.steampowered.com/app/892860/Hot_Brass/,
Project Warlock,6 дек. 2018 г.,400 руб.,https://store.steampowered.com/app/893680/Project_Warlock/,
Mojo,3 авг. 2018 г.,125 руб.,https://store.steampowered.com/app/895600/Mojo/,
EW/WE,5 авг. 2018 г.,30 руб.,https://store.steampowered.com/app/895470/EWWE/,
Evil Bank Manager,8 дек. 2018 г.,199 руб.,https://store.steampowered.com/app/896160/Evil_Bank_Manager/,
Stay Out of the House,13 окт. 2022 г.,360 руб.,https://store.steampowered.com/app/896520/Stay_Out_of_the_House/,
Gun Crazy,12 ноя. 2019 г.,28 руб.,https://store.steampowered.com/app/897640/Gun_Crazy/,
Axis & Allies 1942 Online,9 ноя. 2021 г.,710 руб.,https://store.steampowered.com/app/898920/Axis__Allies_1942_Online/,
Koral,16 мая. 2019 г.,360 руб.,https://store.steampowered.com/app/896750/Koral/,
Reigns: Game of Thrones,18 окт. 2018 г.,165 руб.,https://store.steampowered.com/app/897820/Reigns_Game_of_Thrones/,
Endling - Extinction is Forever,19 июл. 2022 г.,1600 руб.,https://store.steampowered.com/app/898890/Endling__Extinction_is_Forever/,
Xenon Racer,26 мар. 2019 г.,385 руб.,https://store.steampowered.com/app/899390/Xenon_Racer/,
