title,release,price,url,error
Firefighter Frankie 🚒,19 сен. 2025 г.,79 руб.,https://store.steampowered.com/app/3428730/Firefighter_Frankie/,
Dicey Bugs,12 сен. 2025 г.,320 руб.,https://store.steampowered.com/app/3438640/Dicey_Bugs/,
Dynasty Protocol,21 окт. 2025 г.,650 руб.,https://store.steampowered.com/app/3438130/Dynasty_Protocol/,
Холат - перевал Дятлова,9 июн. 2015 г.,710 руб.,https://store.steampowered.com/app/343710/Xolat__pereval_Dyatlova/,
101 Cats Hidden in Bangkok,23 янв. 2025 г.,42 руб.,https://store.steampowered.com/app/3440240/101_Cats_Hidden_in_Bangkok/,
Laundering Simulator - Clean Cash and Laundry,4 ноя. 2025 г.,392 руб.,https://store.steampowered.com/app/3432750/Laundering_Simulator__Clean_Cash_and_Laundry/,
FIND ALL 6: Netherlands,27 мар. 2025 г.,92 руб.,https://store.steampowered.com/app/3444050/FIND_ALL_6_Netherlands/,
Day Zero,18 июн. 2025 г.,240 руб.,https://store.steampowered.com/app/3441130/Day_Zero/,
SwooshCat,13 авг. 2025 г.,130 руб.,https://store.steampowered.com/app/3442170/SwooshCat/,
Coastal Kitchen Simulator,19 июн. 2025 г.,385 руб.,https://store.steampowered.com/app/3444630/Coastal_Kitchen_Simulator/,
Ambidextro,28 мар. 2025 г.,320 руб.,https://store.steampowered.com/app/3445580/Ambidextro/,
Angry Video Game Nerd 8-bit,22 окт. 2025 г.,710 руб.,https://store.steampowered.com/app/3445490/Angry_Video_Game_Nerd_8bit/,
牛马,13 авг. 2025 г.,300 руб.,https://store.steampowered.com/app/3444220/_/,
fault - milestone two side:above,8 сен. 2015 г.,349 руб.,https://store.steampowered.com/app/344770/fault__milestone_two_sideabove/,
Сердцебиение в Таиланде,18 сен. 2025 г.,495 руб.,https://store.steampowered.com/app/3446680/Serdczebienie_v_Tailande/,
Europa Universalis V,4 ноя. 2025 г.,3319 руб.,https://store.steampowered.com/app/3450310/Europa_Universalis_V/,
iDigging,7 мая. 2025 г.,123 руб.,https://store.steampowered.com/app/3447690/iDigging/,
Vox Populi Vox Dei 2,1 мар. 2015 г.,82 руб.,https://store.steampowered.com/app/345120/Vox_Populi_Vox_Dei_2/,
101 Cats Hidden in New Delhi,27 янв. 2025 г.,42 руб.,https://store.steampowered.com/app/3451960/101_Cats_Hidden_in_New_Delhi/,
101 Cats Hidden in Milan,31 янв. 2025 г.,42 руб.,https://store.steampowered.com/app/3454200/101_Cats_Hidden_in_Milan/,
Eden Rising,17 мая. 2019 г.,Бесплатно,https://store.steampowered.com/app/345330/Eden_Rising/,
101 Cats Hidden in New York,30 янв. 2025 г.,42 руб.,https://store.steampowered.com/app/3454220/101_Cats_Hidden_in_New_York/,
Toy Scrappers,4 мар. 2025 г.,250 руб.,https://store.steampowered.com/app/3457790/Toy_Scrappers/,
The Cursed Forest,26 фев. 2019 г.,300 руб.,https://store.steampowered.com/app/345430/The_Cursed_Forest/,
Hidden Cats: City,7 мар. 2025 г.,Бесплатно,https://store.steampowered.com/app/3460800/Hidden_Cats_City/,
ARK: Survival Evolved,27 авг. 2017 г.,550 руб.,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,
Devil Jam,3 ноя. 2025 г.,288 руб.,https://store.steampowered.com/app/3461800/Devil_Jam/,
Hex Blast,30 июл. 2025 г.,150 руб.,https://store.steampowered.com/app/3463290/Hex_Blast/,
Hidden Cats: Japan,5 мар. 2025 г.,99 руб.,https://store.steampowered.com/app/3460780/Hidden_Cats_Japan/,
100 hidden Cats : Playground,6 фев. 2025 г.,89 руб.,https://store.steampowered.com/app/3464500/100_hidden_Cats__Playground/,
Красное Превосходство,28 мар. 2025 г.,320 руб.,https://store.steampowered.com/app/3466180/Krasnoe_Prevosxodstvo/,
Герой Королевства II,20 фев. 2015 г.,350 руб.,https://store.steampowered.com/app/346560/Geroj_Korolevstva_II/,
Road Scars: Origins,3 апр. 2018 г.,210 руб.,https://store.steampowered.com/app/346500/Road_Scars_Origins/,
Crash Drive 3,8 июл. 2021 г.,710 руб.,https://store.steampowered.com/app/346820/Crash_Drive_3/,
100 Berlin Cats,29 июл. 2025 г.,65 руб.,https://store.steampowered.com/app/3466430/100_Berlin_Cats/,
The Mr. Rabbit Magic Show,30 апр. 2025 г.,Бесплатно,https://store.steampowered.com/app/3472550/The_Mr_Rabbit_Magic_Show/,
InnerSpace,16 янв. 2018 г.,710 руб.,https://store.steampowered.com/app/347000/InnerSpace/,
Sweet Delights: The Girl’s Cafe Quest,27 фев. 2025 г.,82 руб.,https://store.steampowered.com/app/3471060/Sweet_Delights_The_Girls_Cafe_Quest/,
Plant Nursery Simulator,16 июн. 2025 г.,490 руб.,https://store.steampowered.com/app/3474700/Plant_Nursery_Simulator/,
Joyquarium,27 мар. 2025 г.,91 руб.,https://store.steampowered.com/app/3472890/Joyquarium/,
