title,release,price,url,error
Autonauts,17 окт. 2019 г.,999 руб.,https://store.steampowered.com/app/979120/Autonauts/,
Stunt Simulator Multiplayer,7 дек. 2018 г.,30 руб.,https://store.steampowered.com/app/979090/Stunt_Simulator_Multiplayer/,
Gordian Quest,23 июн. 2022 г.,435 руб.,https://store.steampowered.com/app/981430/Gordian_Quest/,
Clea,10 июл. 2019 г.,309 руб.,https://store.steampowered.com/app/981020/Clea/,
Love In Drawing,8 янв. 2019 г.,82 руб.,https://store.steampowered.com/app/981260/Love_In_Drawing/,
Shop Legends,3 фев. 2024 г.,Бесплатно,https://store.steampowered.com/app/982300/Shop_Legends/,
Big Dipper,7 янв. 2019 г.,133 руб.,https://store.steampowered.com/app/984470/Big_Dipper/,
Astral Towers,29 сен. 2020 г.,299 руб.,https://store.steampowered.com/app/983450/Astral_Towers/,
SUCCUBUS,5 окт. 2021 г.,880 руб.,https://store.steampowered.com/app/985830/SUCCUBUS/,
Young Souls,10 мар. 2022 г.,880 руб.,https://store.steampowered.com/app/985900/Young_Souls/,
Shadows of Doubt,26 сен. 2024 г.,880 руб.,https://store.steampowered.com/app/986130/Shadows_of_Doubt/,
Lost Lands: Mistakes of the Past Collector's Edition,13 дек. 2018 г.,385 руб.,https://store.steampowered.com/app/986820/Lost_Lands_Mistakes_of_the_Past_Collectors_Edition/,
aMAZE Christmas,4 дек. 2018 г.,82 руб.,https://store.steampowered.com/app/986990/aMAZE_Christmas/,
Alveole,9 апр. 2021 г.,66 руб.,https://store.steampowered.com/app/988930/Alveole/,
The Last Campfire,7 окт. 2021 г.,550 руб.,https://store.steampowered.com/app/990630/The_Last_Campfire/,
Barn Finders,15 июн. 2020 г.,Try it now for free!,https://store.steampowered.com/app/991170/Barn_Finders/,
Trans-Siberian Railway Simulator,30 мая. 2024 г.,890 руб.,https://store.steampowered.com/app/998400/TransSiberian_Railway_Simulator/,
