title,release,price,url,error
Transport Defender,11 сен. 2017 г.,Бесплатно,https://store.steampowered.com/app/685310/Transport_Defender/,
Bridge Constructor Portal,20 дек. 2017 г.,385 руб.,https://store.steampowered.com/app/684410/Bridge_Constructor_Portal/,
Transparent Black,11 ноя. 2016 г.,29 руб.,https://store.steampowered.com/app/687830/Transparent_Black/,
Polygoneer,24 авг. 2017 г.,210 руб.,https://store.steampowered.com/app/684680/Polygoneer/,
Fractured Minds,14 ноя. 2019 г.,61 руб.,https://store.steampowered.com/app/688740/Fractured_Minds/,
Inked: A Tale of Love,26 апр. 2018 г.,259 руб.,https://store.steampowered.com/app/690120/Inked_A_Tale_of_Love/,
Darkestville Castle,21 сен. 2017 г.,449 руб.,https://store.steampowered.com/app/689900/Darkestville_Castle/,
GUTS,15 ноя. 2017 г.,249 руб.,https://store.steampowered.com/app/682810/GUTS/,
Trine 4: The Nightmare Prince,8 окт. 2019 г.,1100 руб.,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/,
Infliction,18 окт. 2018 г.,435 руб.,https://store.steampowered.com/app/692100/Infliction/,
Tennis World Tour,12 июн. 2018 г.,110 руб.,https://store.steampowered.com/app/692030/Tennis_World_Tour/,
Underworld Ascendant,15 ноя. 2018 г.,515 руб.,https://store.steampowered.com/app/692840/Underworld_Ascendant/,
Ash of Gods: Redemption,23 мар. 2018 г.,880 руб.,https://store.steampowered.com/app/691690/Ash_of_Gods_Redemption/,
Smoke and Sacrifice,31 мая. 2018 г.,65 руб.,https://store.steampowered.com/app/695100/Smoke_and_Sacrifice/,
Goblins of Elderstone,8 мар. 2023 г.,710 руб.,https://store.steampowered.com/app/693580/Goblins_of_Elderstone/,
Swarm Queen,19 дек. 2017 г.,169 руб.,https://store.steampowered.com/app/701870/Swarm_Queen/,
Despotism 3k,8 ноя. 2018 г.,299 руб.,https://store.steampowered.com/app/699920/Despotism_3k/,
World War Z,21 сен. 2021 г.,1899 руб.,https://store.steampowered.com/app/699130/World_War_Z/,
Swords and Soldiers 2 Shawarmageddon,6 ноя. 2018 г.,51 руб.,https://store.steampowered.com/app/703880/Swords_and_Soldiers_2_Shawarmageddon/,
VVVVVV,7 сен. 2010 г.,200 руб.,https://store.steampowered.com/app/70300/VVVVVV/,
Professional Farmer: Cattle and Crops,9 июн. 2017 г.,435 руб.,https://store.steampowered.com/app/704030/Professional_Farmer_Cattle_and_Crops/,
Thief Simulator,9 ноя. 2018 г.,710 руб.,https://store.steampowered.com/app/704850/Thief_Simulator/,
Elisa: Seduce the Innkeeper,25 сен. 2017 г.,200 руб.,https://store.steampowered.com/app/704690/Elisa_Seduce_the_Innkeeper/,
,,,https://store.steampowered.com/app/707010/Will_To_Live_Online/,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":"".apphub_AppName""}
  (Session info: chrome=142.0.7444.134); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff65c30a235
	0x7ff65c062650
	0x7ff65bdf16dd
	0x7ff65be4a27e
	0x7ff65be4a58c
	0x7ff65be9ed77
	0x7ff65be9baba
	0x7ff65be3b0ed
	0x7ff65be3bf63
	0x7ff65c335d60
	0x7ff65c32fe8a
	0x7ff65c351005
	0x7ff65c07d73e
	0x7ff65c084e3f
	0x7ff65c06b7e4
	0x7ff65c06b99f
	0x7ff65c051908
	0x7ff932e87374
	0x7ff933f3cc91
"
Magic Rampage,24 мая. 2022 г.,Бесплатные,https://store.steampowered.com/app/704920/Magic_Rampage/,
Fade to Silence,30 апр. 2019 г.,999 руб.,https://store.steampowered.com/app/706020/Fade_to_Silence/,
Cinderella Escape 2 Revenge,5 окт. 2017 г.,87 руб.,https://store.steampowered.com/app/710030/Cinderella_Escape_2_Revenge/,
Hatsune Miku VR,8 мар. 2018 г.,880 руб.,https://store.steampowered.com/app/707300/Hatsune_Miku_VR/,
God of Light: Remastered,8 ноя. 2017 г.,299 руб.,https://store.steampowered.com/app/711130/God_of_Light_Remastered/,
Darksiders Genesis,5 дек. 2019 г.,999 руб.,https://store.steampowered.com/app/710920/Darksiders_Genesis/,
Clad in Iron: Philippines 1898,14 ноя. 2017 г.,465 руб.,https://store.steampowered.com/app/712970/Clad_in_Iron_Philippines_1898/,
ARMORED KITTEN,1 окт. 2017 г.,23 руб.,https://store.steampowered.com/app/713530/ARMORED_KITTEN/,
Red Bow,17 янв. 2020 г.,200 руб.,https://store.steampowered.com/app/710600/Red_Bow/,
Diamo XL,13 окт. 2017 г.,42 руб.,https://store.steampowered.com/app/715010/Diamo_XL/,
Aimlabs,16 июн. 2023 г.,Бесплатно,https://store.steampowered.com/app/714010/Aimlabs/,
Claws & Feathers 3,3 дек. 2020 г.,62 руб.,https://store.steampowered.com/app/715240/Claws__Feathers_3/,
Reign of Guilds,4 апр. 2024 г.,Бесплатные,https://store.steampowered.com/app/716350/Reign_of_Guilds/,
Aggelos,19 июн. 2018 г.,550 руб.,https://store.steampowered.com/app/717310/Aggelos/,
Sigma Theory: Global Cold War,21 ноя. 2019 г.,399 руб.,https://store.steampowered.com/app/716640/Sigma_Theory_Global_Cold_War/,
Urban Rivals,17 янв. 2006 г.,Бесплатно,https://store.steampowered.com/app/715310/Urban_Rivals/,
