title,release,price,url,error
Fun Hospital,21 июн. 2018 г.,Бесплатно,https://store.steampowered.com/app/829420/Fun_Hospital/,
Tales of the Neon Sea,29 апр. 2019 г.,620 руб.,https://store.steampowered.com/app/828740/Tales_of_the_Neon_Sea/,
Maid of Sker,28 июл. 2020 г.,465 руб.,https://store.steampowered.com/app/826940/Maid_of_Sker/,
Trash Story,29 мая. 2018 г.,42 руб.,https://store.steampowered.com/app/827640/Trash_Story/,
Russian World,4 апр. 2018 г.,42 руб.,https://store.steampowered.com/app/829940/Russian_World/,
Conqueror's Blade,5 апр. 2020 г.,Бесплатные,https://store.steampowered.com/app/835570/Conquerors_Blade/,
Mighty Switch Force! Collection,25 июл. 2019 г.,435 руб.,https://store.steampowered.com/app/832320/Mighty_Switch_Force_Collection/,
Viking Brothers 2,22 мар. 2017 г.,199 руб.,https://store.steampowered.com/app/836540/Viking_Brothers_2/,
King of the Hat,24 авг. 2023 г.,435 руб.,https://store.steampowered.com/app/837350/King_of_the_Hat/,
ATLAS,22 дек. 2018 г.,1100 руб.,https://store.steampowered.com/app/834910/ATLAS/,
Приключения Алисы в стране чудес - Искать предметы,8 июн. 2018 г.,400 руб.,https://store.steampowered.com/app/839670/Priklyucheniya_Alisy_v_strane_chudes__Iskat_predmety/,
Phoenix Point,3 дек. 2020 г.,465 руб.,https://store.steampowered.com/app/839770/Phoenix_Point/,
Spacebase Startopia,26 мар. 2021 г.,2299 руб.,https://store.steampowered.com/app/840390/Spacebase_Startopia/,
Aura of Worlds,24 сен. 2024 г.,550 руб.,https://store.steampowered.com/app/841600/Aura_of_Worlds/,
Righty Tighty XL,14 мая. 2018 г.,42 руб.,https://store.steampowered.com/app/843430/Righty_Tighty_XL/,
Bing Bong XL,14 мая. 2018 г.,42 руб.,https://store.steampowered.com/app/840930/Bing_Bong_XL/,
The Lift,30 окт. 2018 г.,200 руб.,https://store.steampowered.com/app/843160/The_Lift/,
Outlaws of the Old West,12 мар. 2019 г.,435 руб.,https://store.steampowered.com/app/840800/Outlaws_of_the_Old_West/,
Fox Hime Zero,23 мая. 2018 г.,24 руб.,https://store.steampowered.com/app/844930/Fox_Hime_Zero/,
Desert Child,11 дек. 2018 г.,460 руб.,https://store.steampowered.com/app/844050/Desert_Child/,
Roundguard,13 мар. 2020 г.,710 руб.,https://store.steampowered.com/app/848030/Roundguard/,
Sniper Strike: Special Ops,27 июл. 2018 г.,Бесплатно,https://store.steampowered.com/app/848500/Sniper_Strike_Special_Ops/,
Subnautica: Below Zero,13 мая. 2021 г.,1800 руб.,https://store.steampowered.com/app/848450/Subnautica_Below_Zero/,
Goat Simulator 3,15 фев. 2024 г.,440 руб.,https://store.steampowered.com/app/850190/Goat_Simulator_3/,
Love Esquire - RPG/Dating Sim/Visual Novel,8 окт. 2019 г.,880 руб.,https://store.steampowered.com/app/849740/Love_Esquire__RPGDating_SimVisual_Novel/,
Sandmade,16 мая. 2018 г.,42 руб.,https://store.steampowered.com/app/851730/Sandmade/,
Mr. Maze,9 фев. 2019 г.,82 руб.,https://store.steampowered.com/app/853310/Mr_Maze/,
DRAGON BALL Z: KAKAROT,16 янв. 2020 г.,1429 руб.,https://store.steampowered.com/app/851850/DRAGON_BALL_Z_KAKAROT/,
El Hijo - A Wild West Tale,3 дек. 2020 г.,1090 руб.,https://store.steampowered.com/app/853050/El_Hijo__A_Wild_West_Tale/,
aMAZE Classic,10 мая. 2018 г.,22 руб.,https://store.steampowered.com/app/853860/aMAZE_Classic/,
JUSTICE SUCKS: Tactical Vacuum Action,8 сен. 2022 г.,710 руб.,https://store.steampowered.com/app/856890/JUSTICE_SUCKS_Tactical_Vacuum_Action/,
Nova Drift,12 авг. 2024 г.,650 руб.,https://store.steampowered.com/app/858210/Nova_Drift/,
Putinoids VS Navalnyats - Путиноиды Против Навальнят,16 мая. 2018 г.,42 руб.,https://store.steampowered.com/app/857020/Putinoids_VS_Navalnyats__Putinoidy_Protiv_Navalnyat/,
Monster Castle,5 мар. 2019 г.,Бесплатно,https://store.steampowered.com/app/859180/Monster_Castle/,
EXFIL,11 дек. 2024 г.,710 руб.,https://store.steampowered.com/app/860020/EXFIL/,
Cows VS Vikings,6 дек. 2018 г.,299 руб.,https://store.steampowered.com/app/854860/Cows_VS_Vikings/,
Ding Dong XL,15 июн. 2018 г.,42 руб.,https://store.steampowered.com/app/862570/Ding_Dong_XL/,
BE-A Walker,7 мая. 2020 г.,458 руб.,https://store.steampowered.com/app/864160/BEA_Walker/,
Session: Skate Sim,22 сен. 2022 г.,249 руб.,https://store.steampowered.com/app/861650/Session_Skate_Sim/,
Fallback,11 окт. 2019 г.,25 руб.,https://store.steampowered.com/app/864540/Fallback/,
