title,release,price,url,error
Stump Simulator,27 окт. 2023 г.,320 руб.,https://store.steampowered.com/app/2642460/Stump_Simulator/,
House of Lost Souls,9 апр. 2025 г.,360 руб.,https://store.steampowered.com/app/2636000/House_of_Lost_Souls/,
Unforgotten: Ordinance,10 фев. 2025 г.,385 руб.,https://store.steampowered.com/app/2636480/Unforgotten_Ordinance/,
Morgan: Metal Detective,30 июл. 2025 г.,550 руб.,https://store.steampowered.com/app/2637220/Morgan_Metal_Detective/,
Cat Warrior,17 янв. 2024 г.,66 руб.,https://store.steampowered.com/app/2640520/Cat_Warrior/,
Pinball Storm: Lokanta,2 июн. 2025 г.,240 руб.,https://store.steampowered.com/app/2642570/Pinball_Storm_Lokanta/,
Becoming Saint,15 июл. 2025 г.,550 руб.,https://store.steampowered.com/app/2643010/Becoming_Saint/,
Kingsgrave,17 апр. 2024 г.,385 руб.,https://store.steampowered.com/app/2644360/Kingsgrave/,
Critter Crossfire,10 июл. 2025 г.,440 руб.,https://store.steampowered.com/app/2644230/Critter_Crossfire/,
Meow Moments: Celebrating Together,22 янв. 2024 г.,Бесплатно,https://store.steampowered.com/app/2647300/Meow_Moments_Celebrating_Together/,
The Backrooms: Escape,1 ноя. 2023 г.,280 руб.,https://store.steampowered.com/app/2644620/The_Backrooms_Escape/,
Subnautica,23 янв. 2018 г.,1800 руб.,https://store.steampowered.com/app/264710/Subnautica/,
Soulmask,30 мая. 2024 г.,1399 руб.,https://store.steampowered.com/app/2646460/Soulmask/,
Ad Fundum,13 июн. 2024 г.,280 руб.,https://store.steampowered.com/app/2647820/Ad_Fundum/,
ICBM: Escalation,21 ноя. 2024 г.,1100 руб.,https://store.steampowered.com/app/2647680/ICBM_Escalation/,
Cogs,14 апр. 2009 г.,154 руб.,https://store.steampowered.com/app/26500/Cogs/,
Nerd Survivors,12 фев. 2024 г.,200 руб.,https://store.steampowered.com/app/2648990/Nerd_Survivors/,
Gomo,6 дек. 2013 г.,299 руб.,https://store.steampowered.com/app/265330/Gomo/,
SEDAP! A Culinary Adventure,22 мая. 2025 г.,550 руб.,https://store.steampowered.com/app/2650730/SEDAP_A_Culinary_Adventure/,
Even the Ocean,16 ноя. 2016 г.,710 руб.,https://store.steampowered.com/app/265470/Even_the_Ocean/,
Shanshui Haven,23 июл. 2024 г.,320 руб.,https://store.steampowered.com/app/2653480/Shanshui_Haven/,
Monochroma,28 мая. 2014 г.,Monochroma Demo,https://store.steampowered.com/app/265830/Monochroma/,
Mycelium Heaven,27 фев. 2025 г.,385 руб.,https://store.steampowered.com/app/2656520/Mycelium_Heaven/,
The OG Cake Factory,16 фев. 2025 г.,300 руб.,https://store.steampowered.com/app/2665040/The_OG_Cake_Factory/,
Is this Game Trying to Kill Me?,12 ноя. 2024 г.,390 руб.,https://store.steampowered.com/app/2658470/Is_this_Game_Trying_to_Kill_Me/,
Sixty Four,4 мар. 2024 г.,250 руб.,https://store.steampowered.com/app/2659900/Sixty_Four/,
ЯР: Забытый Чертог,26 июл. 2024 г.,800 руб.,https://store.steampowered.com/app/2669860/YAR_Zabytyj_CHertog/,
Wizdom Academy,17 апр. 2025 г.,499 руб.,https://store.steampowered.com/app/2668000/Wizdom_Academy/,
Minesweeper Collector 2,29 авг. 2024 г.,325 руб.,https://store.steampowered.com/app/2671210/Minesweeper_Collector_2/,
My Suika – Kyo’s Fruit Merge,29 ноя. 2023 г.,42 руб.,https://store.steampowered.com/app/2671970/My_Suika__Kyos_Fruit_Merge/,
Dino Dino – Playful Paleontology,16 мая. 2024 г.,165 руб.,https://store.steampowered.com/app/2675410/Dino_Dino__Playful_Paleontology/,
Cats and Seek: Osaka,27 ноя. 2023 г.,Бесплатно,https://store.steampowered.com/app/2672090/Cats_and_Seek_Osaka/,
Expansion VR,21 мар. 2024 г.,550 руб.,https://store.steampowered.com/app/2669520/Expansion_VR/,
Dear Flower,7 ноя. 2024 г.,630 руб.,https://store.steampowered.com/app/2675900/Dear_Flower/,
Cats Huddled Together 挤在一起的猫猫们,15 дек. 2023 г.,61 руб.,https://store.steampowered.com/app/2675630/Cats_Huddled_Together/,
GRIDROAD,9 дек. 2024 г.,385 руб.,https://store.steampowered.com/app/2677310/GRIDROAD/,
outside the door,9 апр. 2024 г.,82 руб.,https://store.steampowered.com/app/2680680/outside_the_door/,
No Case Should Remain Unsolved,17 янв. 2024 г.,280 руб.,https://store.steampowered.com/app/2676840/No_Case_Should_Remain_Unsolved/,
Phoenix 2,7 мар. 2025 г.,Бесплатно,https://store.steampowered.com/app/2678070/Phoenix_2/,
Who Let the Frog Out,20 ноя. 2023 г.,42 руб.,https://store.steampowered.com/app/2681220/Who_Let_the_Frog_Out/,
