title,release,price,url,error
Rogue Legacy 2,28 апр. 2022 г.,880 руб.,https://store.steampowered.com/app/1253920/Rogue_Legacy_2/,
Clea 2,25 мар. 2021 г.,309 руб.,https://store.steampowered.com/app/1257860/Clea_2/,
Garbage,4 июн. 2021 г.,45 руб.,https://store.steampowered.com/app/1253710/Garbage/,
Myst,26 авг. 2021 г.,1200 руб.,https://store.steampowered.com/app/1255560/Myst/,
Mushroom Cats 2,24 апр. 2020 г.,42 руб.,https://store.steampowered.com/app/1258310/Mushroom_Cats_2/,
Cosmodread,25 мар. 2021 г.,360 руб.,https://store.steampowered.com/app/1256060/Cosmodread/,
Song of Iron,31 авг. 2021 г.,435 руб.,https://store.steampowered.com/app/1258220/Song_of_Iron/,
Escape First 3,21 мар. 2020 г.,140 руб.,https://store.steampowered.com/app/1258460/Escape_First_3/,
Locked Up,23 апр. 2020 г.,299 руб.,https://store.steampowered.com/app/1258590/Locked_Up/,
Ashina: The Red Witch,4 июн. 2022 г.,25 руб.,https://store.steampowered.com/app/1259140/Ashina_The_Red_Witch/,
The House of Da Vinci 2,28 мая. 2020 г.,999 руб.,https://store.steampowered.com/app/1259840/The_House_of_Da_Vinci_2/,
Tiny Room Stories: Town Mystery,25 фев. 2021 г.,259 руб.,https://store.steampowered.com/app/1259640/Tiny_Room_Stories_Town_Mystery/,
Watcher Chronicles,19 янв. 2022 г.,435 руб.,https://store.steampowered.com/app/1264880/Watcher_Chronicles/,
Espresso For The Demon,7 дек. 2023 г.,350 руб.,https://store.steampowered.com/app/1268200/Espresso_For_The_Demon/,
Destroy All Humans! 2 - Reprobed,30 авг. 2022 г.,1999 руб.,https://store.steampowered.com/app/1266700/Destroy_All_Humans_2__Reprobed/,
The Lord of the Rings: Gollum™,25 мая. 2023 г.,2400 руб.,https://store.steampowered.com/app/1265780/The_Lord_of_the_Rings_Gollum/,
pureya,26 мар. 2021 г.,240 руб.,https://store.steampowered.com/app/1268960/pureya/,
Melvor Idle,18 ноя. 2021 г.,392 руб.,https://store.steampowered.com/app/1267910/Melvor_Idle/,
Starship Troopers: Extermination,10 окт. 2024 г.,1100 руб.,https://store.steampowered.com/app/1268750/Starship_Troopers_Extermination/,
Magic Twins,18 мар. 2021 г.,280 руб.,https://store.steampowered.com/app/1270080/Magic_Twins/,
Mahjong Deluxe,20 мая. 2020 г.,82 руб.,https://store.steampowered.com/app/1272450/Mahjong_Deluxe/,
Nine Witches: Family Disruption,4 дек. 2020 г.,435 руб.,https://store.steampowered.com/app/1272580/Nine_Witches_Family_Disruption/,
Project Chemistry,22 июн. 2021 г.,490 руб.,https://store.steampowered.com/app/1270620/Project_Chemistry/,
CarGo!,7 ноя. 2024 г.,385 руб.,https://store.steampowered.com/app/1272780/CarGo/,
Абсолютное Зелье Алхимии,28 сен. 2020 г.,175 руб.,https://store.steampowered.com/app/1272860/Absolyutnoe_Zele_Alximii/,
Kidnapped Girl,15 июн. 2020 г.,Бесплатно,https://store.steampowered.com/app/1274290/Kidnapped_Girl/,
Dordogne,13 июн. 2023 г.,849 руб.,https://store.steampowered.com/app/1272840/Dordogne/,
Space Otter Charlie,18 мар. 2021 г.,108 руб.,https://store.steampowered.com/app/1275790/Space_Otter_Charlie/,
Diplomacy is Not an Option,4 окт. 2024 г.,599 руб.,https://store.steampowered.com/app/1272320/Diplomacy_is_Not_an_Option/,
Arctic Awakening,18 сен. 2025 г.,1049 руб.,https://store.steampowered.com/app/1275550/Arctic_Awakening/,
