title,release,price,url,error
SKIBIDI BACKROOMS,10 дек. 2023 г.,82 руб.,https://store.steampowered.com/app/2515210/SKIBIDI_BACKROOMS/,
Hero Tale,28 мар. 2024 г.,200 руб.,https://store.steampowered.com/app/2513240/Hero_Tale/,
G.I. Joe: Wrath of Cobra,26 сен. 2024 г.,880 руб.,https://store.steampowered.com/app/2516170/GI_Joe_Wrath_of_Cobra/,
GUARDS!,1 мар. 2024 г.,550 руб.,https://store.steampowered.com/app/2514460/GUARDS/,
7 Days to Die,25 июл. 2024 г.,1500 руб.,https://store.steampowered.com/app/251570/7_Days_to_Die/,
Guardians of the Sanctree,3 окт. 2024 г.,810 руб.,https://store.steampowered.com/app/2512930/Guardians_of_the_Sanctree/,
Legacy of Kain™ Soul Reaver 1&2 Remastered,10 дек. 2024 г.,1100 руб.,https://store.steampowered.com/app/2521380/Legacy_of_Kain_Soul_Reaver_12_Remastered/,
LuckLand,26 авг. 2023 г.,350 руб.,https://store.steampowered.com/app/2516820/LuckLand/,
Letter Lancers,19 июн. 2024 г.,350 руб.,https://store.steampowered.com/app/2522160/Letter_Lancers/,
Mini City: Mayhem,17 фев. 2025 г.,299 руб.,https://store.steampowered.com/app/2517440/Mini_City_Mayhem/,
With My Past,6 мая. 2024 г.,350 руб.,https://store.steampowered.com/app/2524360/With_My_Past/,
Rust,8 фев. 2018 г.,1399 руб.,https://store.steampowered.com/app/252490/Rust/,
No Vacancy Tonight,19 сен. 2025 г.,350 руб.,https://store.steampowered.com/app/2525410/No_Vacancy_Tonight/,
Drop Duchy,5 мая. 2025 г.,550 руб.,https://store.steampowered.com/app/2525310/Drop_Duchy/,
StarDrive 2,9 апр. 2015 г.,499 руб.,https://store.steampowered.com/app/252450/StarDrive_2/,
Out of Sight,22 мая. 2025 г.,639 руб.,https://store.steampowered.com/app/2526310/Out_of_Sight/,
Defender Bros,2 окт. 2024 г.,224 руб.,https://store.steampowered.com/app/2526880/Defender_Bros/,
Undead West,9 дек. 2024 г.,320 руб.,https://store.steampowered.com/app/2527880/Undead_West/,
Stellar Initiative,27 мая. 2024 г.,385 руб.,https://store.steampowered.com/app/2529080/Stellar_Initiative/,
Wedding Witch,3 ноя. 2023 г.,200 руб.,https://store.steampowered.com/app/2529820/Wedding_Witch/,
The Cat Lady,1 дек. 2012 г.,350 руб.,https://store.steampowered.com/app/253110/The_Cat_Lady/,
Lost Eidolons: Veil of the Witch,9 окт. 2025 г.,1000 руб.,https://store.steampowered.com/app/2530490/Lost_Eidolons_Veil_of_the_Witch/,
Tales of Graces f Remastered,16 янв. 2025 г.,2849 руб.,https://store.steampowered.com/app/2530980/Tales_of_Graces_f_Remastered/,
Chromosome Evil 2,15 фев. 2024 г.,550 руб.,https://store.steampowered.com/app/2529770/Chromosome_Evil_2/,
Anaphora,21 ноя. 2023 г.,200 руб.,https://store.steampowered.com/app/2532780/Anaphora/,
Rise of Industry 2,3 июн. 2025 г.,1200 руб.,https://store.steampowered.com/app/2532490/Rise_of_Industry_2/,
FOTONICA,6 ноя. 2014 г.,550 руб.,https://store.steampowered.com/app/253290/FOTONICA/,
CastleMiner Z,9 ноя. 2011 г.,240 руб.,https://store.steampowered.com/app/253430/CastleMiner_Z/,
Neverending Nightmares,26 сен. 2014 г.,349 руб.,https://store.steampowered.com/app/253330/Neverending_Nightmares/,
Z.O.N.A: Origin,22 авг. 2025 г.,699 руб.,https://store.steampowered.com/app/2539520/ZONA_Origin/,
Enclave,10 мар. 2003 г.,385 руб.,https://store.steampowered.com/app/253980/Enclave/,
LAPIDARY: Jewel Craft Simulator,25 мар. 2024 г.,320 руб.,https://store.steampowered.com/app/2539820/LAPIDARY_Jewel_Craft_Simulator/,
Terralysia,7 ноя. 2024 г.,460 руб.,https://store.steampowered.com/app/2540670/Terralysia/,
One Box One Goal,17 фев. 2025 г.,320 руб.,https://store.steampowered.com/app/2541550/One_Box_One_Goal/,
Ketz: Galactic Overlords,9 мая. 2025 г.,350 руб.,https://store.steampowered.com/app/2542140/Ketz_Galactic_Overlords/,
GUNTOUCHABLES,7 авг. 2025 г.,200 руб.,https://store.steampowered.com/app/2543510/GUNTOUCHABLES/,
Карта гипноза,19 янв. 2024 г.,249 руб.,https://store.steampowered.com/app/2544990/Karta_gipnoza/,
Lonely Mountains: Snow Riders,21 янв. 2025 г.,1059 руб.,https://store.steampowered.com/app/2545360/Lonely_Mountains_Snow_Riders/,
Bestial Reception,18 авг. 2023 г.,125 руб.,https://store.steampowered.com/app/2544120/Bestial_Reception/,
Extreme Bus Driver Simulator,18 авг. 2023 г.,21 руб.,https://store.steampowered.com/app/2544480/Extreme_Bus_Driver_Simulator/,
