title,release,price,url,error
In Purr-Suit,31 мая. 2025 г.,56 руб.,https://store.steampowered.com/app/3478950/In_PurrSuit/,
,,,https://store.steampowered.com/app/3484310/Sumrak/,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":"".apphub_AppName""}
  (Session info: chrome=142.0.7444.134); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff65c30a235
	0x7ff65c062650
	0x7ff65bdf16dd
	0x7ff65be4a27e
	0x7ff65be4a58c
	0x7ff65be9ed77
	0x7ff65be9baba
	0x7ff65be3b0ed
	0x7ff65be3bf63
	0x7ff65c335d60
	0x7ff65c32fe8a
	0x7ff65c351005
	0x7ff65c07d73e
	0x7ff65c084e3f
	0x7ff65c06b7e4
	0x7ff65c06b99f
	0x7ff65c051908
	0x7ff932e87374
	0x7ff933f3cc91
"
DREADZONE,17 июл. 2025 г.,1100 руб.,https://store.steampowered.com/app/3484300/DREADZONE/,
Hidden Object Bundle 4 in 1,1 июн. 2014 г.,249 руб.,https://store.steampowered.com/app/347610/Hidden_Object_Bundle_4_in_1/,
Doodle God,24 сен. 2015 г.,279 руб.,https://store.steampowered.com/app/348360/Doodle_God/,
Red Light,13 июн. 2025 г.,550 руб.,https://store.steampowered.com/app/3486770/Red_Light/,
Партизан,25 дек. 2008 г.,50 руб.,https://store.steampowered.com/app/3499000/Partizan/,
Youtubers Life 3 - Stream Together!,22 мая. 2025 г.,816 руб.,https://store.steampowered.com/app/3487060/Youtubers_Life_3__Stream_Together/,
Meme Survivors: Backrooms,7 мая. 2025 г.,42 руб.,https://store.steampowered.com/app/3490820/Meme_Survivors_Backrooms/,
Миротворец,25 сен. 2009 г.,320 руб.,https://store.steampowered.com/app/3498980/Mirotvorecz/,
Линии 98,21 фев. 2025 г.,200 руб.,https://store.steampowered.com/app/3503070/Linii_98/,
Wildgate,22 июл. 2025 г.,1100 руб.,https://store.steampowered.com/app/3504780/Wildgate/,
HIDDEN CATS 3: Steampunk,24 апр. 2025 г.,99 руб.,https://store.steampowered.com/app/3507100/HIDDEN_CATS_3_Steampunk/,
DOOMER SIMULATOR,13 июн. 2025 г.,49 руб.,https://store.steampowered.com/app/3505270/DOOMER_SIMULATOR/,
Planet of the Eyes,24 авг. 2015 г.,385 руб.,https://store.steampowered.com/app/350970/Planet_of_the_Eyes/,
Haydee 3,28 фев. 2025 г.,880 руб.,https://store.steampowered.com/app/3508770/Haydee_3/,
SURVIVAL: Postapocalypse Now,3 дек. 2019 г.,360 руб.,https://store.steampowered.com/app/351290/SURVIVAL_Postapocalypse_Now/,
Niffelheim,26 сен. 2018 г.,419 руб.,https://store.steampowered.com/app/351100/Niffelheim/,
MadSpace: To Hell and Beyond,1 янв. 1997 г.,149 руб.,https://store.steampowered.com/app/351810/MadSpace_To_Hell_and_Beyond/,
Cats of the Yuan Dynasty,27 апр. 2025 г.,31 руб.,https://store.steampowered.com/app/3513500/Cats_of_the_Yuan_Dynasty/,
Paranormal Torment,13 июн. 2025 г.,200 руб.,https://store.steampowered.com/app/3512250/Paranormal_Torment/,
Z.A.R.,1 янв. 1998 г.,149 руб.,https://store.steampowered.com/app/351820/ZAR/,
Nuice Industries,9 сен. 2025 г.,320 руб.,https://store.steampowered.com/app/3518730/Nuice_Industries/,
Death Stream,3 мар. 2025 г.,125 руб.,https://store.steampowered.com/app/3522230/Death_Stream/,
Chicken Invaders 5,13 мар. 2015 г.,240 руб.,https://store.steampowered.com/app/353090/Chicken_Invaders_5/,
PEAK,16 июн. 2025 г.,222 руб.,https://store.steampowered.com/app/3527290/PEAK/,
Uncanny Tales: Cold Road,16 апр. 2025 г.,150 руб.,https://store.steampowered.com/app/3534240/Uncanny_Tales_Cold_Road/,
Circus of Pain,17 сен. 2025 г.,215 руб.,https://store.steampowered.com/app/3535530/Circus_of_Pain/,
The Silent Age,29 мая. 2015 г.,385 руб.,https://store.steampowered.com/app/352520/The_Silent_Age/,
Train Valley,16 сен. 2015 г.,37 руб.,https://store.steampowered.com/app/353640/Train_Valley/,
AC130 уничтожает зомби.,10 июл. 2025 г.,365 руб.,https://store.steampowered.com/app/3536480/AC130_unichtozhaet_zombi/,
Моя жена,10 апр. 2025 г.,82 руб.,https://store.steampowered.com/app/3547790/Moya_zhena/,
The Deadly Tower of Monsters,19 янв. 2016 г.,349 руб.,https://store.steampowered.com/app/353700/The_Deadly_Tower_of_Monsters/,
Poop Killer - Flush or Die,12 мар. 2025 г.,200 руб.,https://store.steampowered.com/app/3553110/Poop_Killer__Flush_or_Die/,
Rentlord,23 июн. 2025 г.,200 руб.,https://store.steampowered.com/app/3546440/Rentlord/,
Purgatory’s Flower,12 сен. 2025 г.,125 руб.,https://store.steampowered.com/app/3540550/Purgatorys_Flower/,
Book Shooter,22 авг. 2025 г.,280 руб.,https://store.steampowered.com/app/3551370/Book_Shooter/,
Sky Force Anniversary,30 апр. 2015 г.,249 руб.,https://store.steampowered.com/app/355050/Sky_Force_Anniversary/,
100 Cats Italy,9 июл. 2025 г.,22 руб.,https://store.steampowered.com/app/3561760/100_Cats_Italy/,
Глубокий Синий: Поглощение и Эволюция,9 авг. 2025 г.,308 руб.,https://store.steampowered.com/app/3553750/Glubokij_Sinij_Pogloshhenie_i_Evolyucziya/,
