title,release,price,url,error
Universe Sandbox,24 авг. 2015 г.,1100 руб.,https://store.steampowered.com/app/230290/Universe_Sandbox/,
Realpolitiks 3: Earth and Beyond,24 апр. 2025 г.,880 руб.,https://store.steampowered.com/app/2298690/Realpolitiks_3_Earth_and_Beyond/,
Resoraki: Гонки,23 мар. 2023 г.,42 руб.,https://store.steampowered.com/app/2303180/Resoraki_Gonki/,
TRAUMA Broken Paradise,3 мар. 2023 г.,620 руб.,https://store.steampowered.com/app/2303950/TRAUMA_Broken_Paradise/,
La-Mulana,15 апр. 2013 г.,349 руб.,https://store.steampowered.com/app/230700/LaMulana/,
OutRage: Fight Fest,16 июл. 2024 г.,385 руб.,https://store.steampowered.com/app/2307870/OutRage_Fight_Fest/,
The Age of Decadence,14 окт. 2015 г.,550 руб.,https://store.steampowered.com/app/230070/The_Age_of_Decadence/,
Best Pearl,8 мар. 2023 г.,42 руб.,https://store.steampowered.com/app/2303560/Best_Pearl/,
Classic Car Simulator: Car Driving,21 фев. 2023 г.,42 руб.,https://store.steampowered.com/app/2308920/Classic_Car_Simulator_Car_Driving/,
Rack and Slay,27 мая. 2024 г.,240 руб.,https://store.steampowered.com/app/2311990/Rack_and_Slay/,
Dawnfolk,13 фев. 2025 г.,550 руб.,https://store.steampowered.com/app/2308630/Dawnfolk/,
Kentucky Route Zero: PC Edition,22 фев. 2013 г.,449 руб.,https://store.steampowered.com/app/231200/Kentucky_Route_Zero_PC_Edition/,
Cats Hidden in Italy,30 июл. 2023 г.,21 руб.,https://store.steampowered.com/app/2313240/Cats_Hidden_in_Italy/,
Silent Nights,10 мар. 2023 г.,165 руб.,https://store.steampowered.com/app/2314180/Silent_Nights/,
Хого Хаос,15 ноя. 2023 г.,140 руб.,https://store.steampowered.com/app/2313160/Xogo_Xaos/,
Company of Heroes 2,25 июн. 2013 г.,849 руб.,https://store.steampowered.com/app/231430/Company_of_Heroes_2/,
Street of Secrets,19 июл. 2023 г.,22 руб.,https://store.steampowered.com/app/2315450/Street_of_Secrets/,
Moorhuhn - Crazy Chicken 'Ловушки и Сокровища',4 апр. 2024 г.,200 руб.,https://store.steampowered.com/app/2316960/Moorhuhn__Crazy_Chicken_Lovushki_i_Sokrovishha/,
Little Big Adventure – Twinsen’s Quest,14 ноя. 2024 г.,974 руб.,https://store.steampowered.com/app/2318070/Little_Big_Adventure__Twinsens_Quest/,
Deathly Dangerous,11 апр. 2023 г.,240 руб.,https://store.steampowered.com/app/2318550/Deathly_Dangerous/,
Toon Toon Racing,15 мая. 2023 г.,82 руб.,https://store.steampowered.com/app/2319260/Toon_Toon_Racing/,
Mining Survivors,15 авг. 2025 г.,200 руб.,https://store.steampowered.com/app/2322450/Mining_Survivors/,
StormEdge,13 сен. 2024 г.,209 руб.,https://store.steampowered.com/app/2321350/StormEdge/,
Gift,8 мая. 2024 г.,2204 руб.,https://store.steampowered.com/app/2322900/Gift/,
A TAVERN FOR TEA,24 мар. 2023 г.,125 руб.,https://store.steampowered.com/app/2319470/A_TAVERN_FOR_TEA/,
PAC-MAN WORLD 2 Re-PAC,25 сен. 2025 г.,2149 руб.,https://store.steampowered.com/app/2324290/PACMAN_WORLD_2_RePAC/,
Sky: Children of the Light,10 апр. 2024 г.,Бесплатно,https://store.steampowered.com/app/2325290/Sky_Children_of_the_Light/,
Knights of the Road,16 авг. 2024 г.,200 руб.,https://store.steampowered.com/app/2324390/Knights_of_the_Road/,
Neuroshima Hex,2 июн. 2025 г.,385 руб.,https://store.steampowered.com/app/2324150/Neuroshima_Hex/,
Mars: War Logs,26 апр. 2013 г.,279 руб.,https://store.steampowered.com/app/232750/Mars_War_Logs/,
Genesis of a Small God,14 ноя. 2024 г.,650 руб.,https://store.steampowered.com/app/2328710/Genesis_of_a_Small_God/,
Thunder Wolves,15 мая. 2013 г.,545 руб.,https://store.steampowered.com/app/232970/Thunder_Wolves/,
HAELE 3D - Позы Ног Pro - Референсы для рисования,12 апр. 2024 г.,825 руб.,https://store.steampowered.com/app/2327780/HAELE_3D__Pozy_Nog_Pro__Referensy_dlya_risovaniya/,
Cataclysm: Dark Days Ahead,31 мар. 2023 г.,710 руб.,https://store.steampowered.com/app/2330750/Cataclysm_Dark_Days_Ahead/,
No.BreakBrick,28 апр. 2023 г.,42 руб.,https://store.steampowered.com/app/2334210/NoBreakBrick/,
Deformed,6 июн. 2024 г.,240 руб.,https://store.steampowered.com/app/2332250/Deformed/,
War of Wheels,2 июн. 2025 г.,550 руб.,https://store.steampowered.com/app/2337940/War_of_Wheels/,
Choo Choo Survivor,26 июн. 2023 г.,175 руб.,https://store.steampowered.com/app/2336200/Choo_Choo_Survivor/,
Gym Manager,31 июл. 2024 г.,200 руб.,https://store.steampowered.com/app/2337460/Gym_Manager/,
Once Alive,18 ноя. 2024 г.,460 руб.,https://store.steampowered.com/app/2336440/Once_Alive/,
