title,release,price,url,error
Хроновизор: Таинственный Рим - Найди Предмет,19 мая. 2023 г.,400 руб.,https://store.steampowered.com/app/2339650/Xronovizor_Tainstvennyj_Rim__Najdi_Predmet/,
Поезд в никуда,24 янв. 2024 г.,100 руб.,https://store.steampowered.com/app/2341540/Poezd_v_nikuda/,
Outpost,11 мая. 2023 г.,165 руб.,https://store.steampowered.com/app/2339690/Outpost/,
Landnama,30 июл. 2023 г.,599 руб.,https://store.steampowered.com/app/2339040/Landnama/,
Mistified,12 апр. 2025 г.,275 руб.,https://store.steampowered.com/app/2338020/Mistified/,
Infest,23 янв. 2025 г.,357 руб.,https://store.steampowered.com/app/2341560/Infest/,
God Of Weapons,12 сен. 2023 г.,239 руб.,https://store.steampowered.com/app/2342950/God_Of_Weapons/,
Rogue Tactics,20 авг. 2025 г.,175 руб.,https://store.steampowered.com/app/2345740/Rogue_Tactics/,
SUGAMENIA,21 июн. 2024 г.,385 руб.,https://store.steampowered.com/app/2342390/SUGAMENIA/,
Rise Again,6 ноя. 2025 г.,585 руб.,https://store.steampowered.com/app/2345170/Rise_Again/,
Slime 3K: Rise Against Despot,31 окт. 2024 г.,200 руб.,https://store.steampowered.com/app/2348610/Slime_3K_Rise_Against_Despot/,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,24 окт. 2013 г.,1199 руб.,https://store.steampowered.com/app/234670/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_3_Full_Burst_HD/,
Riddles And Sieges,12 апр. 2023 г.,133 руб.,https://store.steampowered.com/app/2349950/Riddles_And_Sieges/,
Ebenezer and the Invisible World,3 ноя. 2023 г.,1799 руб.,https://store.steampowered.com/app/2351120/Ebenezer_and_the_Invisible_World/,
BrokenLore: DON'T WATCH,24 апр. 2025 г.,350 руб.,https://store.steampowered.com/app/2351330/BrokenLore_DONT_WATCH/,
Eyes of War,31 янв. 2025 г.,"369,15 руб.",https://store.steampowered.com/app/2343930/Eyes_of_War/,
Neko Office: Nightlife Adventures,14 апр. 2023 г.,42 руб.,https://store.steampowered.com/app/2350390/Neko_Office_Nightlife_Adventures/,
Astrometica,10 дек. 2024 г.,455 руб.,https://store.steampowered.com/app/2353250/Astrometica/,
Mortanis Prisoners,23 июл. 2025 г.,499 руб.,https://store.steampowered.com/app/2354120/Mortanis_Prisoners/,
Вечеринка Апокалипсиса,30 ноя. 2023 г.,385 руб.,https://store.steampowered.com/app/2351560/Vecherinka_Apokalipsisa/,
Solar System Simulator,22 мар. 2024 г.,320 руб.,https://store.steampowered.com/app/2355330/Solar_System_Simulator/,
Overwatch® 2,10 авг. 2023 г.,Бесплатные,https://store.steampowered.com/app/2357570/Overwatch_2/,
Dungeon Clawler,21 ноя. 2024 г.,385 руб.,https://store.steampowered.com/app/2356780/Dungeon_Clawler/,
KILL IT WITH FIRE! 2,16 апр. 2024 г.,550 руб.,https://store.steampowered.com/app/2357000/KILL_IT_WITH_FIRE_2/,
Magisterium: Fantasy Craft,13 ноя. 2023 г.,449 руб.,https://store.steampowered.com/app/2358040/Magisterium_Fantasy_Craft/,
Death Harvest,1 июн. 2023 г.,385 руб.,https://store.steampowered.com/app/2358600/Death_Harvest/,
Train Sim World® 4,26 сен. 2023 г.,1300 руб.,https://store.steampowered.com/app/2362300/Train_Sim_World_4/,
DARK SOULS™ II,25 апр. 2014 г.,1699 руб.,https://store.steampowered.com/app/236430/DARK_SOULS_II/,
Chicken Police: в Улей!,7 ноя. 2024 г.,880 руб.,https://store.steampowered.com/app/2362090/Chicken_Police_v_Ulej/,
911: Каннибал,14 апр. 2023 г.,165 руб.,https://store.steampowered.com/app/2366080/911_Kannibal/,
Blood Bowl 2,22 сен. 2015 г.,799 руб.,https://store.steampowered.com/app/236690/Blood_Bowl_2/,
Thank Goodness You're Here!,1 авг. 2024 г.,899 руб.,https://store.steampowered.com/app/2366980/Thank_Goodness_Youre_Here/,
Arco,15 авг. 2024 г.,899 руб.,https://store.steampowered.com/app/2366970/Arco/,
золото девушки,28 апр. 2023 г.,42 руб.,https://store.steampowered.com/app/2364810/zoloto_devushki/,
[Chilla's Art] Night Security | 夜間警備,16 июн. 2023 г.,320 руб.,https://store.steampowered.com/app/2367230/Chillas_Art_Night_Security/,
Critter Café,26 ноя. 2024 г.,945 руб.,https://store.steampowered.com/app/2367610/Critter_Caf/,
Midnight Thunder Drive,28 авг. 2023 г.,125 руб.,https://store.steampowered.com/app/2368880/Midnight_Thunder_Drive/,
Anomaly 2,15 мая. 2013 г.,349 руб.,https://store.steampowered.com/app/236730/Anomaly_2/,
Chronomon,8 мая. 2025 г.,550 руб.,https://store.steampowered.com/app/2370420/Chronomon/,
Warside,14 апр. 2025 г.,990 руб.,https://store.steampowered.com/app/2368300/Warside/,
