title,release,price,url,error
AUTARKIS,1 сен. 2025 г.,200 руб.,https://store.steampowered.com/app/2378160/AUTARKIS/,
Asterix & Obelix: Heroes,5 окт. 2023 г.,71 руб.,https://store.steampowered.com/app/2374090/Asterix__Obelix_Heroes/,
Whimel Academy,24 окт. 2025 г.,550 руб.,https://store.steampowered.com/app/2377250/Whimel_Academy/,
Descenders Next,21 июл. 2025 г.,599 руб.,https://store.steampowered.com/app/2375530/Descenders_Next/,
Solo Leveling: ARISE OVERDRIVE,24 ноя. 2025 г.,2399 руб.,https://store.steampowered.com/app/2373990/Solo_Leveling_ARISE_OVERDRIVE/,
The Shape Killer - Sniper Game,17 фев. 2025 г.,200 руб.,https://store.steampowered.com/app/2380940/The_Shape_Killer__Sniper_Game/,
Choice of Life: Wild Islands,26 сен. 2024 г.,209 руб.,https://store.steampowered.com/app/2380320/Choice_of_Life_Wild_Islands/,
Anomaly Agent,24 янв. 2024 г.,460 руб.,https://store.steampowered.com/app/2378620/Anomaly_Agent/,
Garten of Banban 4,11 авг. 2023 г.,385 руб.,https://store.steampowered.com/app/2383120/Garten_of_Banban_4/,
Hexguardian,2 мая. 2024 г.,460 руб.,https://store.steampowered.com/app/2381740/Hexguardian/,
BattleBlock Theater®,15 мая. 2014 г.,449 руб.,https://store.steampowered.com/app/238460/BattleBlock_Theater/,
Contagion,25 окт. 2013 г.,249 руб.,https://store.steampowered.com/app/238430/Contagion/,
Magicka 2,26 мая. 2015 г.,829 руб.,https://store.steampowered.com/app/238370/Magicka_2/,
Лабиринт,14 сен. 2023 г.,550 руб.,https://store.steampowered.com/app/2386620/Labirint/,
Г.О.П.О.Т.А,29 апр. 2023 г.,42 руб.,https://store.steampowered.com/app/2389240/GOPOTA/,
Path of Exile,23 окт. 2013 г.,Бесплатные,https://store.steampowered.com/app/238960/Path_of_Exile/,
D96: Kansei,29 мар. 2024 г.,350 руб.,https://store.steampowered.com/app/2390290/D96_Kansei/,
The Chef's Shift,31 мар. 2025 г.,490 руб.,https://store.steampowered.com/app/2390230/The_Chefs_Shift/,
"Papers, Please",8 авг. 2013 г.,385 руб.,https://store.steampowered.com/app/239030/Papers_Please/,
Champion Shift,21 июн. 2024 г.,460 руб.,https://store.steampowered.com/app/2391900/Champion_Shift/,
Monarchy,6 ноя. 2024 г.,550 руб.,https://store.steampowered.com/app/2391650/Monarchy/,
Ceiba,10 ноя. 2023 г.,250 руб.,https://store.steampowered.com/app/2398940/Ceiba/,
ARK: Survival Ascended,25 окт. 2023 г.,2110 руб.,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/,
Glyphica: Typing Survival,9 окт. 2024 г.,400 руб.,https://store.steampowered.com/app/2400160/Glyphica_Typing_Survival/,
Veggie Quest: The Puzzle Game,23 янв. 2024 г.,710 руб.,https://store.steampowered.com/app/2402170/Veggie_Quest_The_Puzzle_Game/,
Russian Train Trip 3,23 июл. 2023 г.,125 руб.,https://store.steampowered.com/app/2405740/Russian_Train_Trip_3/,
Train Simulator Classic,12 июл. 2009 г.,1100 руб.,https://store.steampowered.com/app/24010/Train_Simulator_Classic/,
HOPE: Winter Tale,23 дек. 2024 г.,165 руб.,https://store.steampowered.com/app/2413590/HOPE_Winter_Tale/,
Car Dealer Simulator,29 мая. 2025 г.,640 руб.,https://store.steampowered.com/app/2404880/Car_Dealer_Simulator/,
KIBORG,30 апр. 2025 г.,616 руб.,https://store.steampowered.com/app/2405060/KIBORG/,
Builderment,24 окт. 2023 г.,550 руб.,https://store.steampowered.com/app/2414110/Builderment/,
State of Decay,5 ноя. 2013 г.,N/A,https://store.steampowered.com/app/241540/State_of_Decay/,
The Paradixion: Son's Room,29 мая. 2023 г.,125 руб.,https://store.steampowered.com/app/2415540/The_Paradixion_Sons_Room/,
迷宮校舎 | School Labyrinth,21 фев. 2024 г.,280 руб.,https://store.steampowered.com/app/2423300/__School_Labyrinth/,
Eclipsium,19 сен. 2025 г.,399 руб.,https://store.steampowered.com/app/2419670/Eclipsium/,
The Forest,30 апр. 2018 г.,435 руб.,https://store.steampowered.com/app/242760/The_Forest/,
Suicide Guy: The Lost Dreams,14 сен. 2023 г.,57 руб.,https://store.steampowered.com/app/2423470/Suicide_Guy_The_Lost_Dreams/,
Harmonis: the hand-made kingdoms,1 мая. 2025 г.,449 руб.,https://store.steampowered.com/app/2429540/Harmonis_the_handmade_kingdoms/,
Power Network Tycoon,12 фев. 2024 г.,550 руб.,https://store.steampowered.com/app/2429930/Power_Network_Tycoon/,
140,16 окт. 2013 г.,200 руб.,https://store.steampowered.com/app/242820/140/,
