url,category
https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_240_150_1,rpg
https://store.steampowered.com/app/1818450/STALCRAFT_X/?snr=1_7_7_240_150_1,rpg
https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_240_150_1,rpg
https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_240_150_1,rpg
https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_240_150_1,rpg
https://store.steampowered.com/app/2592160/Dispatch/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/3167020/Escape_from_Duckov/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2827200/MIMESIS/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1030300/Hollow_Knight_Silksong/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2074920/The_First_Descendant/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/2358720/Black_Myth_Wukong/?snr=1_7_7_240_150_1,adventure
https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/3450310/Europa_Universalis_V/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/3180070/No_Im_not_a_Human/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/3215050/Surviving_Mars_Relaunched/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/2870920/Restaurats/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_240_150_1,simulation
https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1665460/eFootball/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1153410/JDM_Japanese_Drift_Master/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/2138720/REMATCH/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1114150/CarX_Street/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/228380/Wreckfest/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1682970/Uncrashed__FPV_Drone_Simulator/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1288320/Way_of_the_Hunter/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/861650/Session_Skate_Sim/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/3483740/Cast_n_Chill/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/3800340/ScootX/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1166860/Rival_Stars_Horse_Racing_Desktop_Edition/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1205970/MX_vs_ATV_Legends/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/3174070/Texasskij_poker_Pokerist/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1462810/WRC_10_FIA_World_Rally_Championship/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1267540/WRC_9_FIA_World_Rally_Championship/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/3983810/The_Spike_Cross/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/2479650/Gubka_Bob_Kvadratnye_SHtany_Giganty_glubin/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/1135910/Hunting_Simulator_2/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/?snr=1_7_7_240_150_1,sports
https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/3293010/Easy_Delivery_Co/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1153410/JDM_Japanese_Drift_Master/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1114150/CarX_Street/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/552100/Brick_Rigs/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/493490/City_Car_Driving/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/228380/Wreckfest/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/675010/MudRunner/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/3558400/Backseat_Drivers/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1682970/Uncrashed__FPV_Drone_Simulator/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1369670/Motor_Town_Behind_The_Wheel/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1796470/Haste/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/2477340/Expeditions_A_MudRunner_Game/?snr=1_7_7_240_150_1,racing
https://store.steampowered.com/app/1166860/Rival_Stars_Horse_Racing_Desktop_Edition/?snr=1_7_7_240_150_1,racing
